arch_id,layer_num,layer_type,units,activation,dropout_rate,reward,accuracy,complexity,complexity_epochs,completed,termination_reason
4570,4,dense,16.0,sigmoid,,76.60783065575768,70.75981497764587,99.93335512808338,84.0,True,stop
4570,5,dense,16.0,sigmoid,,76.60783065575768,70.75981497764587,99.93335512808338,84.0,True,stop
4571,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4571,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4571,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4571,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4571,5,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4572,1,dense,16.0,sigmoid,,76.60784131893719,70.75981497764587,99.93335512808338,92.0,True,stop
4572,2,dense,16.0,sigmoid,,76.60784131893719,70.75981497764587,99.93335512808338,92.0,True,stop
4572,3,dense,16.0,sigmoid,,76.60784131893719,70.75981497764587,99.93335512808338,92.0,True,stop
4572,4,dense,16.0,sigmoid,,76.60784131893719,70.75981497764587,99.93335512808338,92.0,True,stop
4572,5,dense,16.0,sigmoid,,76.60784131893719,70.75981497764587,99.93335512808338,92.0,True,stop
4573,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4573,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4573,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4573,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4573,5,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4574,1,dense,16.0,sigmoid,,77.21159996935887,71.51453495025635,99.93335512808338,79.0,True,stop
4574,2,dense,16.0,sigmoid,,77.21159996935887,71.51453495025635,99.93335512808338,79.0,True,stop
4574,3,dense,16.0,sigmoid,,77.21159996935887,71.51453495025635,99.93335512808338,79.0,True,stop
4574,4,dense,16.0,sigmoid,,77.21159996935887,71.51453495025635,99.93335512808338,79.0,True,stop
4574,5,dense,16.0,sigmoid,,77.21159996935887,71.51453495025635,99.93335512808338,79.0,True,stop
4575,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4575,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4575,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4575,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4575,5,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4576,1,dense,16.0,sigmoid,,77.39110927437646,71.73891067504883,99.95621440319223,78.0,True,stop
4576,2,dense,16.0,sigmoid,,77.39110927437646,71.73891067504883,99.95621440319223,78.0,True,stop
4576,3,dense,16.0,relu,,77.39110927437646,71.73891067504883,99.95621440319223,78.0,True,stop
4577,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4577,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4577,3,dense,16.0,relu,,0.0,,,,False,incomplete
4578,1,dense,16.0,sigmoid,,76.36307126888836,70.45385241508484,99.93335512808338,92.0,True,stop
4578,2,dense,16.0,sigmoid,,76.36307126888836,70.45385241508484,99.93335512808338,92.0,True,stop
4578,3,dense,16.0,sigmoid,,76.36307126888836,70.45385241508484,99.93335512808338,92.0,True,stop
4578,4,dense,16.0,sigmoid,,76.36307126888836,70.45385241508484,99.93335512808338,92.0,True,stop
4578,5,dense,16.0,sigmoid,,76.36307126888836,70.45385241508484,99.93335512808338,92.0,True,stop
4579,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4579,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
